tle_0	tle_1	norad_cat_num	status
1  1347U 65020S   01177.15654153 +.06695543 +10121-0 +10048-1 0  9991	2 1347 055.8833 186.8349 0024014 024.7632 334.8344 16.08476146808652	n_01347	
1 01348U 65020  T 81318.99858156  .10940987 +49889-4 +41832-2 0  9991	2 01348 056.2117 156.6722 0032626 271.0213 088.7151 16.21977956836385	n_01348	
1 01349U 65020  U 79083.15942029  .00698251 +00000-0 +00000-0 0  9990	2 01349 056.0582 006.7618 0088752 274.3179 084.7697 15.71604878718617	n_01349	
1 01370U 65020AC  04017.21051848  .28957768  11590-4  69142-2 0  9991	2 01370 055.9930 282.0398 0009345 283.3390 076.6522 16.28762778945252	n_01370	
1 01371U 65020 AD 80262.55266144  .01182680 +00000-0 +14460-1 0  9998	2 01371 055.7569 310.8172 0044696 241.9758 109.7232 15.58639806774146	n_01371	
1 01372U 65020 AE 89174.40803236  .09495344 +99000-5 +10872-1 0  9991	2 01372 055.9517 329.2842 0047533 228.8730 130.6671 16.05942332206714	n_01372	
1 01373U 65020 AF 79022.04417391  .00866730 +00000-0 +00000-0 0  9996	2 01373 056.1421 316.3777 0054006 310.9532 056.1584 15.67280397703183	n_01373	
1 01377U 65038A   12069.39085762  .22296756  29661-5  44766-3 0  9996	2 01377 098.0492 292.3787 0006769 276.2882 083.9589 16.46851053525758	n_01377	
1 01378U 65038  B 95001.22368290  .17091943 +13875-4 +29316-3 0  9994	2 01378 097.8790 184.2515 0007245 268.5117 091.5634 16.47682567055690	n_01378	
1 01379U 65038  C 83096.15325278  .02982258 +19474-5 +23870-2 0  9999	2 01379 098.3107 314.6625 0005523 076.6961 283.7863 16.14365462952985	n_01379	
1 01383U 65040  B 65152.38724894  .02808504 +25252-1 +00000-0 0  9998	2 01383 051.8824 018.8071 0064065 030.2692 330.1623 16.23618947001122	n_01383	
1 01385U 65039  B 89189.13151924  .10924283 +17729-4 +14624-3 0  9990	2 01385 031.7255 352.5213 0000010 357.0342 004.4419 16.49499117327733	n_01385	
1 01438U 65020 AY 80306.10499863  .07641073 +62193-5 +11811-1 0  9993	2 01438 055.8901 132.9360 0019511 121.2016 239.1481 16.03190731781724	n_01438	
1 01439U 65020 AZ 79008.45005586  .01786285 +00000-0 +00000-0 0  9994	2 01439 055.7455 310.1131 0053218 233.6931 130.8504 15.80832951712908	n_01439	
1 01440U 65051  C 95044.64477829  .01633569 +53580-5 +71875-3 0  9995	2 01440 098.5384 013.8321 0009872 164.9805 195.0943 16.22322689593947	n_01440	
1 01442U 65053  B 79235.97623365  .05618933 +53281-4 +11054-3 0  9999	2 01442 055.9659 341.2155 0008457 276.9632 083.0491 16.38282739783802	n_01442	
1 01444U 65053  D 79346.86862803  .06365056 +56382-4 +16346-3 0  9994	2 01444 056.0008 082.3437 0000834 351.8534 008.3584 16.34547888797460	n_01444	
1 01445U 65053  E 79270.90807021  .17579257 +03060-5 +00180-4 0  9995	2 01445 055.9933 130.2379 0007394 340.4076 025.9983 16.45342827784537	n_01445	
1 01448U 65053  F 81325.67813490  .08563509 +53673-4 +49678-3 0  9994	2 01448 056.0162 328.8790 0005238 313.2560 046.8713 16.41876930899576	n_01448	
1 01461U 65038  E 89075.86042828  .02144750 +90000-6 +46500-2 0  9996	2 01461 098.2318 324.3122 0019669 178.2272 181.9231 15.97922696269819	n_01461	
1 01462U 65038  F 80112.44565888  .02603059 +12523-5 +46238-2 0  9993	2 01462 098.4691 182.7197 0024405 241.9399 117.9063 16.01202865804896	n_01462	
1 01463U 65021  F 79105.27458844  .00347255 +00000-0 +00000-0 0  9998	2 01463 098.9791 027.3087 0038196 115.0897 246.9712 15.60487779764185	n_01463	
1 01475U 65038  G 88047.47028479  .02707909 +19000-5 +18554-2 0  9991	2 01475 097.9418 243.3592 0004653 018.6648 341.1507 16.16580989222589	n_01475	
1 01481U 65020 BF 79130.16082039  .00894895 +00000-0 +00000-0 0  9999	2 01481 056.0860 338.5768 0090307 225.9557 133.3986 15.58490923725075	n_01481	
1 01493U 65020 BT 66233.52879575  .00221148 +53694-4 +00000-0 0  9997	2 01493 056.1018 278.9083 0485703 320.5928 036.0235 14.86254477073707	n_01493	
1 01495U 65020BV  04288.08113433  .19594871  11202-4  11014-1 0  9999	2 01495 055.5566 213.8752 0011657 196.1301 163.9442 16.18449546972030	n_01495	
1 01500U 61015HQ  13179.60216281  .10990962  61977-5  74559-2 0  9999	2 01500 066.6719 213.6777 0016242 287.0161 217.1467 16.16076424714575	n_01500	
1 01501U 61015 HR 79007.81288106  .00737045 +00000-0 +00000-0 0  9993	2 01501 066.3399 152.6943 0020588 237.3940 122.5185 15.63581576936689	n_01501	
1 01528U 63038F   79353.34544481  .01000616 +00000-0 +13138+0 0  9995	2 01528 089.8125 307.5699 0021284 112.9164 254.5978 14.73875734751306	n_01528	
1 01548U 65020 CU 78129.30397622  .00538540 +00000-0 +00000-0 0  9995	2 01548 055.9154 193.2552 0047196 045.5855 314.9011 15.90722179684678	n_01548	
1 01556U 65020 DC 67118.30497072  .08906622 +00000-0 +00000-0 0  9998	2 01556 056.1660 069.4768 0065484 058.0431 302.6891 16.20924343109385	n_01556	
