tle_0	tle_1	lat	lon	norad_cat_num	satellite_name	ownership	launch_date	satellite_decay	satellite_decay_hour	rcs
1 14921U 80030 AT 88292.97178034  .07618693 +00000-0 +41187-1 0  9998	2 14921 066.2097 247.4362 0045631 140.7085 220.9460 15.78182660359566	34.95422390778145	-2.332530732457099	14921	COSMOS 1174 DEB         	CIS  	1980-04-18	1988-10-20	1988-10-21 01:00:00	  0.0200
1 14921U 80030 AT 88292.97178034  .07618693 +00000-0 +41187-1 0  9998	2 14921 066.2097 247.4362 0045631 140.7085 220.9460 15.78182660359566	27.49544559826325	1.8492246257962928	14921	COSMOS 1174 DEB         	CIS  	1980-04-18	1988-10-20	1988-10-21 01:02:00	  0.0200
1 14921U 80030 AT 88292.97178034  .07618693 +00000-0 +41187-1 0  9998	2 14921 066.2097 247.4362 0045631 140.7085 220.9460 15.78182660359566	12.223601090562775	8.627299025555024	14921	COSMOS 1174 DEB         	CIS  	1980-04-18	1988-10-20	1988-10-21 01:06:00	  0.0200
1 14922U 80030 AU 89016.58456610  .16040022 +00000-0 +63412-1 0  9990	2 14922 066.1595 176.6721 0026716 072.9070 307.8596 15.85845292316466	-26.126629584815795	53.94505946100332	14922	COSMOS 1174 DEB         	CIS  	1980-04-18	1989-01-17	1989-01-17 13:00:00	  0.0259
1 14922U 80030 AU 89016.58456610  .16040022 +00000-0 +63412-1 0  9990	2 14922 066.1595 176.6721 0026716 072.9070 307.8596 15.85845292316466	-33.61338605672166	58.00749205478682	14922	COSMOS 1174 DEB         	CIS  	1980-04-18	1989-01-17	1989-01-17 13:02:00	  0.0259
1 14922U 80030 AU 89016.58456610  .16040022 +00000-0 +63412-1 0  9990	2 14922 066.1595 176.6721 0026716 072.9070 307.8596 15.85845292316466	-47.86780643943067	69.16674391321287	14922	COSMOS 1174 DEB         	CIS  	1980-04-18	1989-01-17	1989-01-17 13:06:00	  0.0259
1 14923U 80030 AV 89031.75942505  .03178597 +00000-0 +35195-1 0  9992	2 14923 066.1779 169.2605 0038719 071.2361 289.4166 15.61739484370750	65.85241510903168	-51.75883543599271	14923	COSMOS 1174 DEB         	CIS  	1980-04-18	1989-02-03	1989-02-06 11:00:00	  0.0112
1 14923U 80030 AV 89031.75942505  .03178597 +00000-0 +35195-1 0  9992	2 14923 066.1779 169.2605 0038719 071.2361 289.4166 15.61739484370750	63.289919377739665	-33.41937111825286	14923	COSMOS 1174 DEB         	CIS  	1980-04-18	1989-02-03	1989-02-06 11:02:00	  0.0112
1 14923U 80030 AV 89031.75942505  .03178597 +00000-0 +35195-1 0  9992	2 14923 066.1779 169.2605 0038719 071.2361 289.4166 15.61739484370750	52.901464612433315	-8.761753860687662	14923	COSMOS 1174 DEB         	CIS  	1980-04-18	1989-02-03	1989-02-06 11:06:00	  0.0112
1 14924U 81028BU  86262.15244214  .09299547 +32012-4 +10795-2 0  9997	2 14924 064.9667 159.9914 0010971 225.0600 140.4422 16.36151686151772	-14.66979492198876	35.98765543486647	14924	COSMOS 1260 DEB         	CIS  	1981-03-20	1986-09-19	1986-09-21 20:00:00	  0.0028
1 14924U 81028BU  86262.15244214  .09299547 +32012-4 +10795-2 0  9997	2 14924 064.9667 159.9914 0010971 225.0600 140.4422 16.36151686151772	-22.206427142761346	39.452043495112825	14924	COSMOS 1260 DEB         	CIS  	1981-03-20	1986-09-19	1986-09-21 20:02:00	  0.0028
1 14924U 81028BU  86262.15244214  .09299547 +32012-4 +10795-2 0  9997	2 14924 064.9667 159.9914 0010971 225.0600 140.4422 16.36151686151772	-36.88858812224242	47.973537767782474	14924	COSMOS 1260 DEB         	CIS  	1981-03-20	1986-09-19	1986-09-21 20:06:00	  0.0028
1 14926U 81053 KB 90315.69301416  .06592546 +00000-0 +23313-1 0  9997	2 14926 082.7785 185.0255 0005274 151.6632 206.6950 15.88984256466256	49.752235140869686	-13.666242911201604	14926	COSMOS 1275 DEB         	CIS  	1981-06-04	1990-11-12	1990-11-13 21:00:00	  0.0075
1 14926U 81053 KB 90315.69301416  .06592546 +00000-0 +23313-1 0  9997	2 14926 082.7785 185.0255 0005274 151.6632 206.6950 15.88984256466256	41.430609278787536	-11.979347549427596	14926	COSMOS 1275 DEB         	CIS  	1981-06-04	1990-11-12	1990-11-13 21:02:00	  0.0075
1 14926U 81053 KB 90315.69301416  .06592546 +00000-0 +23313-1 0  9997	2 14926 082.7785 185.0255 0005274 151.6632 206.6950 15.88984256466256	24.696691916033192	-9.902402282268962	14926	COSMOS 1275 DEB         	CIS  	1981-06-04	1990-11-12	1990-11-13 21:06:00	  0.0075
1 14927U 83051  E 89079.30143608  .13781683 +92754-5 +68939-3 0  9995	2 14927 072.3968 175.9517 0049680 310.0145 049.7276 16.35233330393050	13.030345469284248	-177.37001334828625	14927	DELTA 1 DEB             	US   	1983-05-26	1989-03-21	1989-03-21 23:00:00	  0.1100
1 14927U 83051  E 89079.30143608  .13781683 +92754-5 +68939-3 0  9995	2 14927 072.3968 175.9517 0049680 310.0145 049.7276 16.35233330393050	4.98604791250624	-175.248665875107	14927	DELTA 1 DEB             	US   	1983-05-26	1989-03-21	1989-03-21 23:02:00	  0.1100
1 14927U 83051  E 89079.30143608  .13781683 +92754-5 +68939-3 0  9995	2 14927 072.3968 175.9517 0049680 310.0145 049.7276 16.35233330393050	-11.089478060959777	-171.1038065584198	14927	DELTA 1 DEB             	US   	1983-05-26	1989-03-21	1989-03-21 23:06:00	  0.1100
1 14929U 84002  G 85172.08180442  .19515763 +93600-5 +11222-3 0  9990	2 14929 072.8000 082.2811 0011972 248.3106 112.5138 16.54362622083199	50.44583060580072	-32.455716803728684	14929	COSMOS 1530 DEB         	CIS  	1984-01-11	1985-06-21	1985-06-22 00:00:00	  4.6698
1 14929U 84002  G 85172.08180442  .19515763 +93600-5 +11222-3 0  9990	2 14929 072.8000 082.2811 0011972 248.3106 112.5138 16.54362622083199	42.82422400156401	-27.616628522064907	14929	COSMOS 1530 DEB         	CIS  	1984-01-11	1985-06-21	1985-06-22 00:02:00	  4.6698
1 14929U 84002  G 85172.08180442  .19515763 +93600-5 +11222-3 0  9990	2 14929 072.8000 082.2811 0011972 248.3106 112.5138 16.54362622083199	27.07371556796081	-21.05300626743212	14929	COSMOS 1530 DEB         	CIS  	1984-01-11	1985-06-21	1985-06-22 00:06:00	  4.6698
1 14934U 59001D   07295.38021046  .04304013  26561-1  78340-2 0  9993	2 14934 032.7805 031.3996 0003188 063.3365 340.6307 16.03697100750069	4.985294884150246	-86.01237414248465	14934	VANGUARD DEB            	US   	1959-02-17	2007-10-23	2007-10-24 16:00:00	  0.0126
1 14934U 59001D   07295.38021046  .04304013  26561-1  78340-2 0  9993	2 14934 032.7805 031.3996 0003188 063.3365 340.6307 16.03697100750069	0.4255820969117658	-79.39438528960585	14934	VANGUARD DEB            	US   	1959-02-17	2007-10-23	2007-10-24 16:02:00	  0.0126
1 14934U 59001D   07295.38021046  .04304013  26561-1  78340-2 0  9993	2 14934 032.7805 031.3996 0003188 063.3365 340.6307 16.03697100750069	-8.643030658760855	-66.09250991873597	14934	VANGUARD DEB            	US   	1959-02-17	2007-10-23	2007-10-24 16:06:00	  0.0126
1 14936U 83034  L 84246.06626850  .02135214 +00000-0 +53003-2 0  9999	2 14936 073.9326 040.8208 0011339 281.3309 078.9309 15.95597119076843	10.075502327725534	125.51434290533568	14936	COSMOS 1453 DEB         	CIS  	1983-04-19	1984-09-05	1984-09-08 06:00:00	  0.2594
1 14936U 83034  L 84246.06626850  .02135214 +00000-0 +53003-2 0  9999	2 14936 073.9326 040.8208 0011339 281.3309 078.9309 15.95597119076843	1.9698686049837553	127.37737262410504	14936	COSMOS 1453 DEB         	CIS  	1983-04-19	1984-09-05	1984-09-08 06:02:00	  0.2594
1 14936U 83034  L 84246.06626850  .02135214 +00000-0 +53003-2 0  9999	2 14936 073.9326 040.8208 0011339 281.3309 078.9309 15.95597119076843	-14.238237957017969	131.1304113088653	14936	COSMOS 1453 DEB         	CIS  	1983-04-19	1984-09-05	1984-09-08 06:06:00	  0.2594
1 14937U 83034  M 84229.60449544  .02595979 +40080-6 +57009-2 0  9990	2 14937 074.0670 078.9423 0014929 224.6394 134.6410 15.97748149074328	-24.57969589819275	104.74442748843308	14937	COSMOS 1453 DEB         	CIS  	1983-04-19	1984-08-19	1984-08-21 12:00:00	  0.2661
1 14937U 83034  M 84229.60449544  .02595979 +40080-6 +57009-2 0  9990	2 14937 074.0670 078.9423 0014929 224.6394 134.6410 15.97748149074328	-32.585937775349564	107.25286910263361	14937	COSMOS 1453 DEB         	CIS  	1983-04-19	1984-08-19	1984-08-21 12:02:00	  0.2661
1 14937U 83034  M 84229.60449544  .02595979 +40080-6 +57009-2 0  9990	2 14937 074.0670 078.9423 0014929 224.6394 134.6410 15.97748149074328	-48.280083487921814	114.41101663583369	14937	COSMOS 1453 DEB         	CIS  	1983-04-19	1984-08-19	1984-08-21 12:06:00	  0.2661
1 14947U 83101  E 84249.71196237  .23830599 -10927-4 +58473-2 0  9993	2 14947 082.8401 233.0289 0013154 172.2397 196.0521 16.29061851052372	40.424935640489444	59.12489734262257	14947	COSMOS 1501 DEB         	CIS  	1983-09-30	1984-09-05	1984-09-07 00:00:00	  0.2700
